prioridad,fecha,dia,hora,score,fecha_str,hora_str
media,2025-11-06 14:00:00,Jue,14,0.9418174603174604,2025-11-06,14:00
alta,2025-11-10 10:00:00,Lun,10,0.9350768398268396,2025-11-10,10:00
media,2025-11-06 15:00:00,Jue,15,0.9345396825396824,2025-11-06,15:00
media,2025-11-06 16:00:00,Jue,16,0.9309285714285715,2025-11-06,16:00
baja,2025-11-06 17:00:00,Jue,17,0.9241944444444444,2025-11-06,17:00
baja,2025-11-05 16:00:00,Mié,16,0.9214629629629629,2025-11-05,16:00
media,2025-11-07 10:00:00,Vie,10,0.9207761497761496,2025-11-07,10:00
alta,2025-11-05 10:00:00,Mié,10,0.9112449309949309,2025-11-05,10:00
alta,2025-11-10 13:00:00,Lun,13,0.9088982683982685,2025-11-10,13:00
baja,2025-11-05 15:00:00,Mié,15,0.9079074074074072,2025-11-05,15:00
muy_urgente,2025-11-07 11:00:00,Vie,11,0.9050671550671548,2025-11-07,11:00
regular,2025-11-05 14:00:00,Mié,14,0.9048518518518517,2025-11-05,14:00
muy_urgente,2025-11-07 12:00:00,Vie,12,0.8888131868131867,2025-11-07,12:00
